Title,Length,Overall_Rated,Confidence_Score
2024-12-16 22:08:51+00:00,61,neutral,0.6137075424194336
2024-12-16 21:33:23+00:00,56,neutral,0.6274870038032532
2024-12-16 21:31:08+00:00,69,neutral,0.9088592529296875
2024-12-16 19:38:46+00:00,263,neutral,0.8783842921257019
2024-12-16 16:07:16+00:00,81,neutral,0.8921430706977844
2024-12-16 12:44:14+00:00,210,neutral,0.9153041839599609
2024-12-16 09:28:09+00:00,166,neutral,0.73844975233078
2024-12-16 08:41:22+00:00,80,neutral,0.9202730059623718
2024-12-16 01:30:59+00:00,187,neutral,0.9153958559036255
2024-12-15 21:18:09+00:00,100,neutral,0.923073410987854
2024-12-15 20:19:15+00:00,45,neutral,0.8146300315856934
2024-12-15 17:58:41+00:00,92,neutral,0.9125550985336304
2024-12-15 17:02:40+00:00,119,neutral,0.9401852488517761
2024-12-15 16:09:48+00:00,181,neutral,0.9043470025062561
2024-12-15 06:04:43+00:00,187,neutral,0.8314177989959717
2024-12-15 04:52:56+00:00,189,neutral,0.7757183909416199
2024-12-14 23:35:26+00:00,114,neutral,0.9386995434761047
2024-12-14 22:21:56+00:00,128,neutral,0.9068251848220825
2024-12-14 15:35:00+00:00,96,neutral,0.9360711574554443
2024-12-14 14:37:16+00:00,89,neutral,0.9243277311325073
2024-12-14 10:20:00+00:00,85,neutral,0.9248700141906738
2024-12-14 04:19:37+00:00,216,neutral,0.913848876953125
2024-12-14 01:46:07+00:00,57,neutral,0.9108588099479675
2024-12-13 22:54:13+00:00,43,neutral,0.9492403864860535
2024-12-13 21:53:01+00:00,32,neutral,0.8094550967216492
2024-12-13 21:46:43+00:00,88,neutral,0.7402285933494568
2024-12-13 21:25:11+00:00,80,positive,0.9199482798576355
2024-12-13 21:23:46+00:00,89,positive,0.8902918100357056
2024-12-13 19:21:52+00:00,236,neutral,0.8539785146713257
2024-12-13 17:48:05+00:00,230,neutral,0.7555054426193237
2024-12-13 17:22:28+00:00,186,neutral,0.851194441318512
2024-12-13 17:11:12+00:00,216,neutral,0.9067710638046265
2024-12-13 15:15:52+00:00,59,neutral,0.9175000786781311
2024-12-13 08:38:40+00:00,114,neutral,0.9020770192146301
2024-12-13 02:42:03+00:00,128,positive,0.865969181060791
2024-12-13 02:39:47+00:00,170,neutral,0.38346052169799805
2024-12-12 19:59:28+00:00,198,neutral,0.9300171732902527
2024-12-12 16:03:37+00:00,175,neutral,0.9367090463638306
2024-12-12 16:00:11+00:00,197,neutral,0.9333902597427368
2024-12-12 11:10:39+00:00,145,neutral,0.9362627267837524
2024-12-12 10:51:59+00:00,127,positive,0.808230459690094
2024-12-12 10:35:42+00:00,263,neutral,0.8636215925216675
2024-12-12 07:25:58+00:00,192,neutral,0.8913520574569702
2024-12-12 01:01:33+00:00,25,neutral,0.9249400496482849
2024-12-11 22:25:04+00:00,54,neutral,0.5129847526550293
2024-12-11 22:18:17+00:00,185,neutral,0.9267967343330383
2024-12-11 21:41:38+00:00,180,negative,0.8553312420845032
